ds,y,yhat
2001-11-01,230511.0,225909.85532345995
2001-12-01,229584.0,227057.9181596569
2002-01-01,215215.0,218100.58194466372
2002-02-01,208237.0,207936.7533379676
2002-03-01,236070.0,239156.04560884347
2002-04-01,237226.0,236529.85734727935
2002-05-01,251746.0,249885.36913241624
2002-06-01,247868.0,250200.18681644872
2002-07-01,256392.0,255446.0779823601
2002-08-01,258666.0,258188.55409616194
2002-09-01,233625.0,234510.95509748787
2002-10-01,245556.0,246156.53481837263
2002-11-01,230648.0,233813.61228111197
2002-12-01,234260.0,231000.77670097604
2003-01-01,218534.0,219645.53825313723
2003-02-01,203677.0,211758.53164794852
2003-03-01,236679.0,234399.45252562058
2003-04-01,239415.0,236848.60657066494
2003-05-01,253244.0,252591.88136450687
2003-06-01,252145.0,250396.1273523219
2003-07-01,262105.0,259733.8420073691
2003-08-01,260687.0,263265.2761643586
2003-09-01,237451.0,237710.00385960855
2003-10-01,254048.0,248732.92289619657
2003-11-01,233698.0,238276.8129618098
2003-12-01,238538.0,237116.42950414997
2004-01-01,222450.0,223386.70233904282
2004-02-01,213709.0,210506.71215972328
2004-03-01,251403.0,244679.56072609848
2004-04-01,250968.0,251323.55196063293
2004-05-01,257235.0,264477.89139605605
2004-06-01,257383.0,257970.67653712127
2004-07-01,265969.0,266870.1176988374
2004-08-01,262836.0,265765.86023248953
2004-09-01,243515.0,240822.58372315727
2004-10-01,254496.0,257333.49920567303
2004-11-01,239796.0,237049.2679293005
2004-12-01,245029.0,242677.7277452075
2005-01-01,224072.0,228987.9040963378
2005-02-01,219970.0,216380.2419113196
2005-03-01,253182.0,254368.32264064066
2005-04-01,250860.0,253351.80080595615
2005-05-01,262678.0,260232.78837579614
2005-06-01,263816.0,261805.10112433508
2005-07-01,267025.0,271702.1105930329
2005-08-01,265323.0,266314.959536621
2005-09-01,242240.0,245348.21605336858
2005-10-01,251419.0,254440.7615386133
2005-11-01,243056.0,237257.9316299229
2005-12-01,245787.0,245792.63155135055
2006-01-01,233282.0,226875.94069435826
2006-02-01,220711.0,225794.6834813782
2006-03-01,256623.0,254818.2007236999
2006-04-01,250644.0,254871.73718297872
2006-05-01,263370.0,263371.4336438624
2006-06-01,263782.0,263951.9073287161
2006-07-01,263421.0,268805.9351958382
2006-08-01,265206.0,263545.2296948164
2006-09-01,245605.0,242385.82924775407
2006-10-01,257939.0,254803.6468920824
2006-11-01,245346.0,246256.75776828444
2006-12-01,248187.0,248301.39183095784
2007-01-01,233621.0,234403.3623727376
2007-02-01,219232.0,222936.88195373677
2007-03-01,259638.0,255021.39367713546
2007-04-01,252595.0,254477.8397746619
